City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Colquechaca,BO,-18.6667,-66.0167,36.66,77,100,2.51,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,30.36,81,100,3.91,overcast clouds
147,Eydhafushi,MV,5.1033,73.0708,81.63,78,83,19.44,broken clouds
148,Cururupu,BR,-1.8283,-44.8683,85.96,67,67,8.79,broken clouds
149,Roebourne,AU,-20.7833,117.1333,82.85,54,0,11.97,light rain
150,Borovoy,RU,55.4333,86.0833,9.68,85,75,13.42,light snow
151,Saint-Philippe,RE,-21.3585,55.7679,80.22,79,34,13.49,light rain
152,Dali,CN,25.7,100.1833,44.04,64,0,5.48,clear sky
153,Lugovoy,KZ,42.9472,72.7644,35.04,74,100,5.19,overcast clouds
154,Faanui,PF,-16.4833,-151.75,80.42,76,24,13.2,light rain
155,Alice Springs,AU,-23.7,133.8833,74.75,43,44,5.75,scattered clouds
156,Aasiaat,GL,68.7098,-52.8699,3.81,99,100,4.27,overcast clouds
157,Kurilsk,RU,45.2333,147.8833,32.79,65,99,11.65,overcast clouds
158,Karlskoga,SE,59.3267,14.5239,45.72,95,100,11.36,overcast clouds
159,Dikson,RU,73.5069,80.5464,-21.41,100,88,5.23,overcast clouds
160,Jinchang,CN,38.4953,102.1739,21.2,55,99,4.16,overcast clouds
161,Bireun,ID,5.203,96.7009,79.3,85,81,3.11,broken clouds
162,Christchurch,NZ,-43.5333,172.6333,55.9,96,90,3.0,heavy intensity drizzle
163,Sitka,US,57.0531,-135.33,24.69,86,1,0.0,clear sky
164,Port Elizabeth,ZA,-33.918,25.5701,70.09,73,40,27.63,scattered clouds
165,Tiruchchendur,IN,8.4833,78.1167,79.65,78,81,17.81,broken clouds
166,Taicheng,CN,38.731,113.228,28.8,46,17,6.49,few clouds
167,Gizo,SB,-8.103,156.8419,82.02,78,99,5.77,moderate rain
168,Kahului,US,20.8947,-156.47,72.84,90,1,0.0,clear sky
169,Carnarvon,AU,-24.8667,113.6333,69.87,83,40,19.57,scattered clouds
170,Mega,ET,4.05,38.3,70.09,45,83,15.39,broken clouds
171,Lebu,CL,-37.6167,-73.65,61.07,62,1,9.13,clear sky
172,Chipiona,ES,36.7366,-6.437,66.38,52,0,18.41,clear sky
173,Coaticook,CA,45.1334,-71.7991,29.93,43,99,4.32,overcast clouds
174,Ustka,PL,54.5805,16.8619,46.62,92,100,20.6,moderate rain
175,Faya,SA,18.3851,42.4509,60.91,45,44,5.06,scattered clouds
176,Chiradzulu,MW,-15.6746,35.1407,83.16,37,50,9.75,scattered clouds
177,Siavonga,ZM,-16.5382,28.7088,94.21,37,41,1.25,scattered clouds
178,Shaunavon,CA,49.6501,-108.4181,2.98,86,100,16.6,overcast clouds
179,Nhulunbuy,AU,-12.2333,136.7667,84.81,70,14,3.44,few clouds
180,Constitucion,CL,-35.3333,-72.4167,65.55,52,12,6.53,few clouds
181,Mahebourg,MU,-20.4081,57.7,79.09,73,40,13.8,light rain
