City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,Port Hardy,50.6996,-127.4199,42.8,87,75,2.3,CA,2021-12-14 00:20:43
186,Saint-Francois,46.4154,3.9054,37.47,98,90,4.61,FR,2021-12-14 00:24:02
187,Namibe,-15.1961,12.1522,75.07,72,97,3.27,AO,2021-12-14 00:24:03
188,Praya,14.9215,-23.5087,73.94,83,0,19.57,CV,2021-12-14 00:24:03
189,Seminole,28.7086,-81.2081,73.76,89,1,6.91,US,2021-12-14 00:24:04
190,Faanui,-16.4833,-151.75,81.36,74,52,14.2,PF,2021-12-14 00:24:04
191,Ngaoundere,7.3167,13.5833,66.87,28,99,2.86,CM,2021-12-14 00:24:05
192,Sibolga,1.7427,98.7792,76.21,85,97,3.49,ID,2021-12-14 00:24:05
193,Vila Franca Do Campo,37.7167,-25.4333,57.2,66,98,6.85,PT,2021-12-14 00:24:05
194,Puerto Baquerizo Moreno,-0.9,-89.6,68.56,88,47,10.56,EC,2021-12-14 00:24:06
195,Nandyal,15.4833,78.4833,69.06,89,100,3.2,IN,2021-12-14 00:24:06
196,Viet Tri,21.3019,105.4308,55.35,76,0,2.51,VN,2021-12-14 00:23:49
197,Peremyshl,54.2631,36.1606,27.16,95,100,2.06,RU,2021-12-14 00:24:07
198,Meadow Lake,34.8014,-106.5436,51.28,28,20,2.57,US,2021-12-14 00:24:07
199,Evensk,61.95,159.2333,5.49,80,100,33.96,RU,2021-12-14 00:24:07
200,Ouallam,14.3188,2.0866,74.91,12,27,10.07,NE,2021-12-14 00:24:08
201,Keti Bandar,24.1447,67.4497,66.49,33,0,7.38,PK,2021-12-14 00:24:08
202,Nusaybin,37.0778,41.2178,53.91,29,83,2.75,TR,2021-12-14 00:24:08
203,Gambo,4.6482,22.2633,72.28,47,54,0.43,CF,2021-12-14 00:24:09
204,Chaman,30.9236,66.4512,36.54,39,0,6.85,PK,2021-12-14 00:24:09
205,Aba,5.1066,7.3667,78.08,86,83,6.02,NG,2021-12-14 00:24:09
206,Kuloy,61.0305,42.4925,24.39,90,98,9.1,RU,2021-12-14 00:24:10
207,Kumluca,36.3703,30.2869,53.67,75,61,3.33,TR,2021-12-14 00:24:10
208,Cayenne,4.9333,-52.3333,80.1,85,0,3.0,GF,2021-12-14 00:24:11
209,Udachnyy,66.4167,112.4,-50.22,100,70,3.18,RU,2021-12-14 00:24:11
210,Port Hedland,-20.3167,118.5667,93.25,24,56,10.36,AU,2021-12-14 00:24:12
211,Verkhoyansk,67.5447,133.385,-42.3,100,100,2.33,RU,2021-12-14 00:24:12
212,Orlik,52.5178,99.825,-6.36,95,99,3.18,RU,2021-12-14 00:24:13
213,Akhtubinsk,48.2795,46.1722,26.76,72,100,14.56,RU,2021-12-14 00:24:13
214,Zapolyarnyy,69.4154,30.8136,29.48,97,97,4.9,RU,2021-12-14 00:24:14
215,Touros,-5.1989,-35.4608,83.3,77,59,12.59,BR,2021-12-14 00:24:14
216,Strezhevoy,60.7333,77.5889,-31.02,100,7,2.15,RU,2021-12-14 00:24:14
217,Yulara,-25.2406,130.9889,85.84,26,69,14.97,AU,2021-12-14 00:24:15
218,Bangkalan,-7.0455,112.7351,80.55,80,59,0.4,ID,2021-12-14 00:24:15
219,Mayumba,-3.432,10.6554,77.88,91,97,1.14,GA,2021-12-14 00:24:15
220,Shubarshi,48.5872,57.1869,13.17,82,6,3.51,KZ,2021-12-14 00:24:16
221,Manzanillo,20.3433,-77.1167,77.54,68,2,15.88,CU,2021-12-14 00:24:16
222,San Cristobal,7.7669,-72.225,71.78,93,75,3.09,VE,2021-12-14 00:24:16
223,Mehamn,71.0357,27.8492,34.45,78,96,13.02,NO,2021-12-14 00:24:17
224,Mareeba,-17.0,145.4333,84.92,59,79,4.36,AU,2021-12-14 00:24:17
225,Carnarvon,-24.8667,113.6333,73.47,56,32,24.16,AU,2021-12-14 00:24:18
226,Fershampenuaz,53.5202,59.8117,12.49,78,75,7.23,RU,2021-12-14 00:24:18
227,Coihaique,-45.5752,-72.0662,53.55,47,90,4.61,CL,2021-12-14 00:21:49
228,Tabou,4.423,-7.3528,79.77,83,53,7.47,CI,2021-12-14 00:24:19
229,Katherine,-14.4667,132.2667,89.92,55,40,12.66,AU,2021-12-14 00:25:19
230,Alpena,45.0617,-83.4327,39.11,88,35,8.95,US,2021-12-14 00:25:19
231,Uyuni,-20.4597,-66.825,56.53,16,5,9.62,BO,2021-12-14 00:25:20
232,Krasnoselkup,65.7,82.4667,-36.74,96,10,6.26,RU,2021-12-14 00:25:20
233,Otorohanga,-38.1833,175.2,74.97,84,100,6.67,NZ,2021-12-14 00:25:20
234,Nidderau,50.25,8.9,43.75,93,12,1.21,DE,2021-12-14 00:25:21
235,Zabid,14.1951,43.3152,71.24,57,16,5.28,YE,2021-12-14 00:25:21
236,Viedma,-40.8135,-62.9967,63.07,52,44,14.99,AR,2021-12-14 00:25:22
237,Gazli,40.1333,63.45,30.02,88,91,5.55,UZ,2021-12-14 00:25:22
238,Jutai,-5.1833,-68.9,75.65,97,100,2.15,BR,2021-12-14 00:25:22
239,Goderich,43.7501,-81.7165,43.12,75,16,8.05,CA,2021-12-14 00:25:23
240,Lagos,6.5833,3.75,82.72,86,54,3.78,NG,2021-12-14 00:25:23
241,Halifax,44.6453,-63.5724,41.05,81,97,5.75,CA,2021-12-14 00:23:58
242,Idritsa,56.3316,28.8988,28.45,94,100,2.86,RU,2021-12-14 00:21:12
243,Mazagao,-0.115,-51.2894,84.25,86,100,5.08,BR,2021-12-14 00:25:24
244,East London,-33.0153,27.9116,70.74,82,100,22.28,ZA,2021-12-14 00:25:24
245,Grindavik,63.8424,-22.4338,37.87,93,90,23.02,IS,2021-12-14 00:25:25
246,Asyut,27.181,31.1837,62.65,61,82,8.32,EG,2021-12-14 00:25:25
247,Payakumbuh,-0.2202,100.6308,70.99,99,99,1.12,ID,2021-12-14 00:25:25
248,Pacific Grove,36.6177,-121.9166,56.08,92,90,8.01,US,2021-12-14 00:23:53
249,Alamosa,37.4695,-105.87,42.78,22,1,4.61,US,2021-12-14 00:25:26
250,Wukari,7.85,9.7833,74.86,24,100,4.34,NG,2021-12-14 00:25:26
251,Areia Branca,-4.9561,-37.1369,81.52,76,74,20.51,BR,2021-12-14 00:25:27
252,Juba,4.8517,31.5825,77.9,38,92,2.13,SS,2021-12-14 00:25:09
253,Guane,22.2025,-84.0875,75.79,76,18,4.79,CU,2021-12-14 00:25:27
254,Bar Harbor,44.3876,-68.2039,45.23,63,1,15.99,US,2021-12-14 00:25:28
255,Saint George,37.1041,-113.5841,52.32,47,1,0.0,US,2021-12-14 00:25:28
256,Zaozerne,45.1582,33.2787,46.94,90,58,9.06,UA,2021-12-14 00:25:28
257,Yatou,37.15,122.3833,36.32,61,1,7.14,CN,2021-12-14 00:25:29
258,Salalah,17.0151,54.0924,71.69,43,0,10.36,OM,2021-12-14 00:25:29
259,San Bartolome De Tirajana,27.9248,-15.5733,55.31,56,20,6.91,ES,2021-12-14 00:25:29
260,Broken Hill,-31.95,141.4333,80.31,36,36,11.5,AU,2021-12-14 00:25:30
261,Saint Anthony,45.0205,-93.218,33.89,81,1,0.0,US,2021-12-14 00:25:30
262,Kavieng,-2.5744,150.7967,85.08,73,46,8.84,PG,2021-12-14 00:25:30
263,Olafsvik,64.8945,-23.7142,38.59,85,100,18.43,IS,2021-12-14 00:25:31
264,Nemuro,43.3236,145.575,34.23,56,18,13.91,JP,2021-12-14 00:25:31
265,Deputatskiy,69.3,139.9,-25.73,98,100,1.9,RU,2021-12-14 00:25:32
266,Vryheid,-27.7695,30.7917,59.83,88,100,2.95,ZA,2021-12-14 00:25:32
267,Hailar,49.2,119.7,2.59,94,49,7.02,CN,2021-12-14 00:25:32
268,Larap,14.299,122.6504,77.02,73,93,14.14,PH,2021-12-14 00:25:33
269,Uyskoye,54.3775,60.0047,8.13,86,63,2.57,RU,2021-12-14 00:25:33
270,Axim,4.8699,-2.2405,79.45,88,39,5.75,GH,2021-12-14 00:25:33
271,Merrill,45.1805,-89.6835,29.97,90,1,0.0,US,2021-12-14 00:25:34
272,Ostrovnoy,68.0531,39.5131,21.43,94,100,6.24,RU,2021-12-14 00:25:34
273,Nantucket,41.2835,-70.0995,48.34,73,18,29.21,US,2021-12-14 00:25:34
274,Lompoc,34.6391,-120.4579,57.09,85,90,13.8,US,2021-12-14 00:25:35
275,Sao Francisco,-15.9486,-44.8644,71.26,96,100,2.95,BR,2021-12-14 00:25:35
276,Yumen,40.2833,97.2,20.39,36,57,16.78,CN,2021-12-14 00:25:36
277,Arman,59.7,150.1667,5.02,83,100,13.69,RU,2021-12-14 00:26:36
278,Sao Joao Da Barra,-21.6403,-41.0511,75.69,93,100,15.97,BR,2021-12-14 00:26:36
279,Shimoda,34.6667,138.95,50.36,78,99,3.69,JP,2021-12-14 00:26:37
280,Esperance,-33.8667,121.9,66.04,54,1,9.13,AU,2021-12-14 00:26:37
281,Arthur,39.7148,-88.4723,44.91,60,43,6.29,US,2021-12-14 00:26:37
282,Paratinga,-12.6906,-43.1842,75.09,76,100,2.86,BR,2021-12-14 00:26:38
283,Mityana,0.4175,32.0228,65.88,80,92,0.81,UG,2021-12-14 00:26:38
284,Zhezkazgan,47.8043,67.7144,3.18,78,0,6.71,KZ,2021-12-14 00:26:38
285,Mariental,-24.6333,17.9667,70.27,32,1,12.01,NA,2021-12-14 00:26:39
286,Betsiamites,48.9413,-68.646,37.8,99,100,6.02,CA,2021-12-14 00:26:39
287,Jonesboro,35.8423,-90.7043,51.57,71,1,5.99,US,2021-12-14 00:26:40
288,Ostroh,50.3294,26.5143,32.54,99,100,7.54,UA,2021-12-14 00:26:40
289,Arlit,18.7369,7.3853,68.04,10,31,6.96,NE,2021-12-14 00:26:41
290,Batagay-Alyta,67.8006,130.4114,-36.65,94,89,4.63,RU,2021-12-14 00:26:41
291,Mayna,54.1135,47.6231,23.47,61,100,11.79,RU,2021-12-14 00:26:41
292,Lahaina,20.8783,-156.6825,80.35,86,45,11.41,US,2021-12-14 00:26:42
293,Maturin,9.75,-63.1767,72.77,96,99,6.04,VE,2021-12-14 00:26:42
